Country,Item,Price
NG,urea,7500
NG,MOP,13500
NG,DAP,13250
NG,NPK201010,7200
NG,NPK151515,8500
NG,TSP,13250
NG,NPK171717,7800
NG,CAN,7500
NG,SSP,22364
NG,NPK201216,8000
NG,manual_ploughing,17000
NG,manual_ridging,12000
NG,tractor_ploughing,6000
NG,tractor_ridging,6000
NG,weeding1,30000
NG,weeding2,30000
NG,maize_freshCob,50
NG,maize_grain,230
NG,cassUP,12000
TZ,urea,58000
TZ,MOP,67000
TZ,DAP,60000
TZ,NPK201010,68000
TZ,TSP,64000
TZ,NPK171717,63000
TZ,CAN,53000
TZ,sweetPotato_tuber,120000
TZ,sweetPotato_flour,384000
TZ,manual_ploughing,175000
TZ,manual_ridging,225000
TZ,tractor_ploughing,150000
TZ,tractor_ridging,100000
TZ,weeding1,600000
TZ,weeding2,450000
TZ,cassUP,180000
RW,urea,28200
RW,MOP,27900
RW,DAP,31650
RW,NPK171717,35650
RW,cassUP,75000
GH,urea,142
GH,NPK112221,160
GH,NPK251010,150
GH,NPK152020,156
GH,NPK201010,146
GH,NPK23105,146
GH,NPK123017,160
GH,cassUP,450
BU,FOMIIMBURA,85390
BU,FOMIBAGARA,77600
BU,FOMITOTAHAZA,77600
BU,cassUP,700000
